Respondent,Y,EAR,MAR,Circularity,MOE
1,0,0.284,0.951,0.487,3.342
1,0,0.319,0.935,0.490,2.936
1,0,0.268,0.951,0.387,3.544
1,0,0.268,0.952,0.414,3.554
1,0,0.273,0.968,0.455,3.542
1,0,0.268,0.966,0.413,3.605
1,0,0.291,1.002,0.434,3.442
1,0,0.289,0.968,0.429,3.347
1,0,0.267,0.968,0.450,3.619
1,0,0.309,0.949,0.429,3.076
1,0,0.245,0.969,0.396,3.959
1,0,0.238,0.934,0.393,3.924
1,0,0.256,0.968,0.393,3.777
1,0,0.274,0.966,0.393,3.531
1,0,0.245,0.952,0.396,3.892
1,0,0.262,0.935,0.447,3.573
1,0,0.244,0.952,0.433,3.900
1,0,0.274,0.968,0.442,3.530
1,0,0.262,0.952,0.408,3.629
1,0,0.274,0.950,0.468,3.471
1,0,0.220,0.928,0.378,4.213
1,0,0.203,1.004,0.388,4.940
1,0,0.193,0.960,0.354,4.978
1,0,0.245,0.986,0.426,4.030
1,0,0.232,1.017,0.432,4.388
1,0,0.232,0.983,0.430,4.237
1,0,0.231,1.018,0.430,4.404
1,0,0.237,1.058,0.366,4.473
1,0,0.251,1.058,0.401,4.223
1,0,0.263,1.018,0.425,3.869
1,0,0.237,1.021,0.407,4.313
1,0,0.243,1.018,0.384,4.185
1,0,0.237,1.039,0.408,4.376
1,0,0.237,1.018,0.405,4.290
1,0,0.250,1.003,0.400,4.015
1,0,0.225,1.036,0.412,4.603
1,0,0.264,1.017,0.425,3.858
1,0,0.237,1.053,0.406,4.438
1,0,0.244,1.000,0.410,4.096
1,0,0.250,1.018,0.430,4.066
1,0,0.237,1.018,0.408,4.287
1,0,0.237,1.033,0.406,4.353
1,0,0.218,1.021,0.368,4.675
1,0,0.218,1.015,0.369,4.644
1,0,0.210,1.018,0.348,4.842
1,0,0.244,1.038,0.426,4.259
1,0,0.224,0.989,0.384,4.414
1,0,0.237,0.983,0.406,4.142
1,0,0.264,1.020,0.425,3.870
1,0,0.237,1.000,0.408,4.211
1,0,0.232,1.018,0.432,4.385
1,0,0.237,1.003,0.406,4.229
1,0,0.237,1.000,0.406,4.222
1,0,0.237,0.983,0.407,4.150
1,0,0.250,1.036,0.402,4.137
1,0,0.173,1.000,0.358,5.796
1,0,0.237,0.983,0.406,4.143
1,0,0.271,1.038,0.445,3.834
1,0,0.276,1.042,0.418,3.778
1,0,0.202,1.039,0.346,5.134
1,0,0.269,0.952,0.427,3.535
1,0,0.251,0.904,0.415,3.609
1,0,0.283,0.968,0.466,3.426
1,0,0.244,0.980,0.425,4.016
1,0,0.282,0.965,0.426,3.424
1,0,0.257,0.966,0.407,3.763
1,0,0.263,1.000,0.423,3.805
1,0,0.190,0.962,0.393,5.048
1,0,0.250,1.003,0.402,4.008
1,0,0.251,0.958,0.427,3.821
1,0,0.250,0.983,0.388,3.931
1,0,0.231,0.986,0.386,4.275
1,0,0.263,0.965,0.425,3.673
1,0,0.224,0.983,0.386,4.384
1,0,0.218,1.018,0.410,4.679
1,0,0.218,0.979,0.368,4.498
1,0,0.198,1.000,0.372,5.053
1,0,0.206,0.982,0.413,4.766
1,0,0.243,0.983,0.427,4.041
1,0,0.230,0.966,0.405,4.191
1,0,0.237,1.003,0.408,4.225
1,0,0.224,0.986,0.386,4.399
1,0,0.219,0.986,0.368,4.508
1,0,0.224,0.965,0.386,4.306
1,0,0.238,0.983,0.451,4.130
1,0,0.230,0.986,0.404,4.291
1,0,0.230,0.965,0.405,4.191
1,0,0.224,1.000,0.386,4.470
1,0,0.224,0.982,0.386,4.384
1,0,0.237,1.018,0.382,4.291
1,0,0.237,0.965,0.408,4.068
1,0,0.237,0.940,0.408,3.957
1,0,0.218,0.979,0.369,4.480
1,0,0.237,1.029,0.408,4.332
1,0,0.237,1.018,0.382,4.289
1,0,0.171,1.048,0.315,6.110
1,0,0.243,1.011,0.357,4.164
1,0,0.225,0.997,0.387,4.431
1,0,0.237,1.036,0.406,4.369
1,0,0.231,1.034,0.452,4.484
1,0,0.199,1.018,0.371,5.129
1,0,0.230,1.032,0.404,4.492
1,0,0.211,0.996,0.390,4.721
1,0,0.224,1.000,0.384,4.462
1,0,0.225,1.018,0.387,4.526
1,0,0.224,1.029,0.386,4.590
1,0,0.250,0.990,0.402,3.962
1,0,0.250,1.011,0.401,4.048
1,0,0.238,0.993,0.406,4.179
1,0,0.264,1.011,0.466,3.833
1,0,0.238,1.029,0.450,4.330
1,0,0.257,1.011,0.421,3.934
1,0,0.257,1.014,0.421,3.945
1,0,0.251,1.011,0.403,4.026
1,0,0.277,1.047,0.461,3.777
1,0,0.250,1.014,0.401,4.058
1,0,0.250,1.044,0.402,4.172
1,0,0.237,1.033,0.406,4.361
1,0,0.250,1.048,0.401,4.184
1,0,0.264,1.026,0.425,3.890
1,0,0.251,1.007,0.443,4.020
1,0,0.251,0.990,0.445,3.949
1,0,0.237,1.011,0.406,4.263
1,0,0.224,1.026,0.385,4.585
1,0,0.238,1.011,0.407,4.250
1,0,0.237,1.060,0.424,4.476
1,0,0.152,1.014,0.343,6.683
1,0,0.194,1.007,0.399,5.187
1,0,0.213,0.983,0.409,4.622
1,0,0.207,1.014,0.391,4.890
1,0,0.225,1.007,0.405,4.468
1,0,0.213,1.032,0.410,4.850
1,0,0.233,1.016,0.406,4.360
1,0,0.184,1.029,0.353,5.580
1,0,0.231,1.052,0.403,4.554
1,0,0.213,1.014,0.411,4.752
1,0,0.208,1.073,0.391,5.158
1,0,0.238,1.029,0.425,4.333
1,0,0.250,1.034,0.442,4.135
1,0,0.224,1.012,0.382,4.516
1,0,0.231,1.055,0.361,4.569
1,0,0.230,1.020,0.402,4.439
1,0,0.213,1.072,0.411,5.023
1,0,0.231,1.038,0.363,4.498
1,0,0.206,1.052,0.351,5.103
1,0,0.232,1.001,0.406,4.322
1,0,0.237,0.986,0.381,4.160
1,0,0.221,1.051,0.409,4.764
1,0,0.237,1.016,0.425,4.288
1,0,0.225,1.038,0.385,4.624
1,0,0.229,1.047,0.402,4.568
1,0,0.244,1.037,0.424,4.245
1,0,0.225,1.038,0.429,4.624
1,0,0.250,1.012,0.400,4.047
1,0,0.250,1.034,0.400,4.138
1,0,0.237,1.038,0.380,4.382
1,0,0.238,1.020,0.451,4.287
1,0,0.224,1.058,0.382,4.725
1,0,0.225,1.058,0.385,4.714
1,0,0.238,1.034,0.450,4.351
1,0,0.251,1.054,0.445,4.206
1,0,0.257,1.038,0.464,4.045
1,0,0.250,0.980,0.443,3.919
1,0,0.251,1.034,0.446,4.126
1,0,0.185,1.020,0.354,5.513
1,0,0.206,1.036,0.394,5.028
1,0,0.218,1.017,0.367,4.662
1,0,0.216,1.055,0.385,4.875
1,0,0.212,1.014,0.368,4.794
1,0,0.186,1.050,0.356,5.658
1,0,0.224,1.050,0.385,4.693
1,0,0.199,1.036,0.369,5.219
1,0,0.227,1.072,0.429,4.729
1,0,0.225,1.036,0.385,4.614
1,0,0.238,1.032,0.426,4.343
1,0,0.233,1.054,0.451,4.529
1,0,0.180,1.036,0.338,5.746
1,0,0.184,1.018,0.354,5.531
1,0,0.218,1.018,0.368,4.670
1,0,0.190,1.029,0.374,5.404
1,0,0.212,1.018,0.368,4.815
1,0,0.211,1.036,0.367,4.911
1,0,0.236,1.036,0.380,4.386
1,0,0.223,1.054,0.384,4.723
1,0,0.190,1.018,0.420,5.360
1,0,0.237,1.030,0.425,4.344
1,0,0.218,1.020,0.367,4.680
1,0,0.244,1.032,0.424,4.226
1,0,0.250,0.982,0.442,3.929
1,0,0.244,0.983,0.445,4.031
1,0,0.238,1.034,0.450,4.353
1,0,0.237,1.018,0.425,4.296
1,0,0.217,1.036,0.386,4.771
1,0,0.211,1.016,0.367,4.816
1,0,0.211,1.032,0.387,4.891
1,0,0.219,1.029,0.410,4.704
1,0,0.227,1.014,0.429,4.474
1,0,0.212,1.012,0.368,4.784
1,0,0.243,1.040,0.445,4.273
1,0,0.219,1.036,0.410,4.737
1,0,0.211,1.016,0.365,4.816
1,0,0.198,0.984,0.370,4.969
1,0,0.264,1.016,0.467,3.847
1,0,0.269,0.998,0.400,3.713
1,0,0.210,1.000,0.367,4.760
1,0,0.190,1.034,0.372,5.443
1,0,0.206,0.998,0.351,4.843
1,0,0.206,1.037,0.349,5.041
1,0,0.211,1.016,0.412,4.816
1,0,0.206,1.020,0.350,4.961
1,0,0.211,1.037,0.367,4.920
1,0,0.198,1.053,0.370,5.320
1,0,0.193,1.039,0.354,5.396
1,0,0.212,1.006,0.368,4.757
1,0,0.188,0.985,0.400,5.247
1,0,0.232,1.004,0.406,4.337
1,0,0.142,1.014,0.314,7.132
1,0,0.239,1.012,0.421,4.235
1,0,0.252,1.009,0.443,4.005
1,0,0.249,1.032,0.400,4.140
1,0,0.218,1.034,0.388,4.738
1,0,0.211,1.053,0.365,4.990
1,0,0.224,1.044,0.426,4.661
1,0,0.256,1.014,0.419,3.955
1,0,0.236,1.027,0.380,4.347
1,0,0.256,1.048,0.419,4.088
1,0,0.210,1.011,0.365,4.812
1,0,0.237,1.014,0.381,4.277
1,0,0.230,1.046,0.363,4.542
1,0,0.224,1.018,0.385,4.552
1,0,0.251,1.055,0.446,4.204
1,0,0.244,0.998,0.425,4.099
1,0,0.244,1.018,0.426,4.169
1,0,0.232,1.018,0.406,4.399
1,0,0.224,1.059,0.429,4.729
1,0,0.218,1.011,0.367,4.639
1,0,0.225,1.058,0.385,4.710
1,0,0.244,1.018,0.382,4.180
1,0,0.251,1.018,0.400,4.064
1,0,0.238,0.983,0.447,4.137
1,1,0.175,1.054,0.336,6.013
1,1,0.222,1.023,0.380,4.605
1,1,0.175,1.000,0.305,5.730
1,1,0.181,1.009,0.307,5.578
1,1,0.206,1.023,0.368,4.957
1,1,0.196,1.004,0.352,5.131
1,1,0.161,1.045,0.294,6.491
1,1,0.178,1.016,0.317,5.696
1,1,0.183,0.961,0.331,5.265
1,1,0.201,0.963,0.330,4.786
1,1,0.175,0.930,0.304,5.308
1,1,0.223,0.999,0.345,4.487
1,1,0.160,0.982,0.351,6.128
1,1,0.195,0.980,0.339,5.029
1,1,0.163,1.032,0.318,6.315
1,1,0.187,1.019,0.310,5.458
1,1,0.174,0.974,0.329,5.590
1,1,0.175,1.000,0.331,5.718
1,1,0.186,0.974,0.346,5.235
1,1,0.136,0.984,0.272,7.227
1,1,0.159,0.980,0.316,6.168
1,1,0.148,1.020,0.303,6.877
1,1,0.151,0.969,0.320,6.420
1,1,0.174,1.003,0.336,5.771
1,1,0.198,1.012,0.308,5.123
1,1,0.152,0.987,0.320,6.504
1,1,0.190,0.989,0.362,5.193
1,1,0.163,0.986,0.296,6.030
1,1,0.164,1.006,0.295,6.148
1,1,0.198,1.038,0.328,5.251
1,1,0.184,0.971,0.368,5.293
1,1,0.186,0.980,0.343,5.276
1,1,0.196,1.000,0.358,5.110
1,1,0.167,0.967,0.316,5.803
1,1,0.191,1.000,0.341,5.246
1,1,0.238,1.003,0.392,4.215
1,1,0.285,1.035,0.414,3.631
1,1,0.330,0.993,0.487,3.007
1,1,0.307,0.987,0.467,3.213
1,1,0.234,0.987,0.364,4.211
1,1,0.205,0.954,0.345,4.662
1,1,0.280,0.969,0.411,3.465
1,1,0.284,1.000,0.452,3.520
1,1,0.267,1.000,0.451,3.739
1,1,0.250,1.016,0.412,4.065
1,1,0.268,0.987,0.413,3.683
1,1,0.256,0.969,0.393,3.788
1,1,0.256,1.035,0.429,4.044
1,1,0.239,0.969,0.416,4.062
1,1,0.209,1.016,0.361,4.854
1,1,0.209,1.019,0.361,4.868
1,1,0.179,1.022,0.346,5.723
1,1,0.209,1.000,0.361,4.783
1,1,0.190,1.052,0.361,5.526
1,1,0.186,1.035,0.346,5.566
1,1,0.156,1.019,0.335,6.552
1,1,0.221,1.003,0.395,4.528
1,1,0.186,1.035,0.347,5.566
1,1,0.209,1.051,0.361,5.023
1,1,0.221,1.018,0.379,4.610
1,1,0.209,1.033,0.361,4.934
1,1,0.205,1.016,0.382,4.951
1,1,0.232,1.022,0.414,4.396
1,1,0.233,1.035,0.413,4.449
1,1,0.267,1.033,0.413,3.873
1,1,0.262,1.016,0.433,3.880
1,1,0.205,1.048,0.382,5.126
1,1,0.273,1.016,0.430,3.724
1,1,0.296,1.016,0.446,3.434
1,1,0.273,1.002,0.430,3.676
1,1,0.164,1.016,0.325,6.201
1,1,0.227,1.038,0.396,4.568
1,1,0.261,1.081,0.408,4.138
1,1,0.256,1.040,0.394,4.067
1,1,0.250,1.000,0.412,4.000
1,1,0.244,1.016,0.396,4.155
1,1,0.250,1.000,0.412,4.000
1,1,0.239,1.032,0.381,4.324
1,1,0.210,1.021,0.360,4.865
1,1,0.176,1.022,0.388,5.807
1,1,0.228,0.988,0.397,4.336
1,1,0.209,0.978,0.361,4.672
1,1,0.202,1.038,0.342,5.131
1,1,0.245,1.052,0.395,4.297
1,1,0.203,1.022,0.379,5.033
1,1,0.191,1.014,0.362,5.310
1,1,0.187,1.034,0.367,5.540
1,1,0.182,0.986,0.322,5.404
1,1,0.203,1.027,0.359,5.060
1,1,0.191,1.045,0.362,5.459
1,1,0.208,1.022,0.417,4.908
1,1,0.180,1.038,0.387,5.777
1,1,0.180,1.030,0.346,5.733
1,1,0.179,1.011,0.346,5.642
1,1,0.199,1.027,0.382,5.163
1,1,0.202,1.026,0.358,5.083
1,1,0.191,1.004,0.402,5.242
1,1,0.187,1.050,0.367,5.614
1,1,0.156,1.057,0.335,6.769
1,1,0.186,1.023,0.346,5.489
1,1,0.199,1.023,0.382,5.150
1,1,0.176,1.023,0.369,5.830
1,1,0.187,1.043,0.385,5.579
1,1,0.210,1.019,0.398,4.850
1,1,0.186,1.039,0.328,5.574
1,1,0.191,1.004,0.384,5.243
1,1,0.204,1.030,0.399,5.062
1,1,0.164,1.034,0.355,6.315
1,1,0.182,1.047,0.350,5.758
1,1,0.186,1.034,0.328,5.572
1,1,0.209,1.050,0.340,5.030
1,1,0.176,1.039,0.370,5.918
1,1,0.164,1.000,0.357,6.107
1,1,0.194,1.062,0.365,5.474
1,1,0.163,1.030,0.318,6.312
1,1,0.166,1.049,0.357,6.316
1,1,0.198,1.046,0.343,5.288
1,1,0.176,1.015,0.370,5.782
1,1,0.186,1.050,0.328,5.636
1,1,0.191,1.079,0.343,5.633
1,1,0.180,1.050,0.330,5.843
1,1,0.175,1.031,0.331,5.902
1,1,0.191,1.070,0.343,5.608
1,1,0.198,1.046,0.343,5.287
1,1,0.203,1.015,0.340,5.011
1,1,0.179,1.047,0.346,5.856
1,1,0.191,1.050,0.384,5.485
1,1,0.191,1.031,0.384,5.387
1,1,0.203,1.000,0.358,4.938
1,1,0.179,1.031,0.345,5.762
1,1,0.179,1.015,0.346,5.678
1,1,0.198,1.031,0.344,5.203
1,1,0.191,1.077,0.343,5.647
1,1,0.179,1.005,0.329,5.601
1,1,0.163,1.025,0.309,6.284
1,1,0.184,1.096,0.345,5.965
1,1,0.187,1.040,0.328,5.568
1,1,0.196,1.044,0.358,5.336
1,1,0.172,1.044,0.347,6.084
