Respondent,Y,EAR,MAR,Circularity,MOE
1,0,0.3,0.938,0.458,3.132
1,0,0.304,0.912,0.446,2.999
1,0,0.28,0.913,0.413,3.259
1,0,0.295,0.984,0.448,3.339
1,0,0.283,0.926,0.419,3.273
1,0,0.297,0.925,0.451,3.118
1,0,0.295,0.899,0.445,3.049
1,0,0.289,0.93,0.409,3.221
1,0,0.292,0.896,0.419,3.072
1,0,0.3,0.902,0.458,3.008
1,0,0.285,0.849,0.423,2.981
1,0,0.286,0.961,0.435,3.364
1,0,0.307,1.031,0.457,3.354
1,0,0.291,1.05,0.423,3.612
1,0,0.259,0.946,0.397,3.658
1,0,0.29,0.928,0.405,3.2
1,0,0.285,0.928,0.417,3.253
1,0,0.278,0.937,0.424,3.373
1,0,0.295,0.928,0.414,3.146
1,0,0.27,0.948,0.408,3.519
1,0,0.279,0.952,0.451,3.415
1,0,0.275,0.945,0.412,3.44
1,0,0.278,0.988,0.453,3.56
1,0,0.278,0.95,0.45,3.419
1,0,0.286,0.907,0.42,3.177
1,0,0.266,0.941,0.434,3.534
1,0,0.233,0.993,0.393,4.261
1,0,0.266,0.998,0.42,3.748
1,0,0.266,0.981,0.407,3.683
1,0,0.274,0.922,0.424,3.362
1,0,0.274,0.95,0.419,3.47
1,0,0.297,0.975,0.452,3.279
1,0,0.275,0.957,0.477,3.478
1,0,0.297,0.907,0.422,3.058
1,0,0.27,0.928,0.408,3.441
1,0,0.285,0.961,0.444,3.366
1,0,0.281,0.868,0.429,3.096
1,0,0.31,0.975,0.457,3.151
1,0,0.29,0.956,0.436,3.296
1,0,0.278,1.028,0.426,3.693
1,0,0.287,0.987,0.438,3.436
1,0,0.306,1.073,0.487,3.508
1,0,0.313,1.03,0.481,3.295
1,0,0.282,1.029,0.452,3.645
1,0,0.294,1.008,0.452,3.423
1,0,0.262,0.952,0.424,3.629
1,0,0.278,0.991,0.418,3.57
1,0,0.282,0.97,0.422,3.437
1,0,0.278,0.962,0.409,3.462
1,0,0.286,0.972,0.42,3.403
1,0,0.294,0.961,0.422,3.276
1,0,0.277,0.967,0.409,3.494
1,0,0.292,0.961,0.415,3.293
1,0,0.313,0.943,0.46,3.018
1,0,0.292,0.922,0.433,3.153
1,0,0.294,0.968,0.439,3.296
1,0,0.297,0.954,0.447,3.214
1,0,0.316,0.951,0.459,3.014
1,0,0.292,0.919,0.433,3.145
1,0,0.292,0.929,0.437,3.177
1,0,0.305,0.928,0.439,3.045
1,0,0.266,0.867,0.396,3.267
1,0,0.307,0.975,0.453,3.182
1,0,0.301,0.984,0.442,3.265
1,0,0.297,0.914,0.425,3.075
1,0,0.313,0.943,0.413,3.014
1,0,0.309,0.93,0.454,3.006
1,0,0.308,0.941,0.447,3.056
1,0,0.308,0.904,0.441,2.936
1,0,0.318,0.916,0.442,2.881
1,0,0.313,0.897,0.453,2.864
1,0,0.294,0.881,0.405,2.997
1,0,0.282,0.923,0.409,3.27
1,0,0.297,0.941,0.44,3.166
1,0,0.294,0.89,0.433,3.027
1,0,0.294,0.933,0.434,3.178
1,0,0.291,1.028,0.425,3.537
1,0,0.297,1.031,0.444,3.472
1,0,0.27,0.927,0.42,3.435
1,0,0.303,0.88,0.436,2.903
1,0,0.285,0.878,0.417,3.086
1,0,0.285,0.882,0.442,3.096
1,0,0.274,0.88,0.417,3.218
1,0,0.281,0.883,0.431,3.139
1,0,0.288,0.878,0.426,3.05
1,0,0.277,0.901,0.427,3.254
1,0,0.273,0.875,0.417,3.201
