Respondent,Y,EAR,MAR,Circularity,MOE
1,0,0.32,0.806,0.468,2.518
1,0,0.362,0.875,0.516,2.421
1,0,0.351,0.817,0.459,2.328
1,0,0.329,0.867,0.488,2.64
1,0,0.219,0.849,0.362,3.873
1,0,0.314,0.839,0.454,2.675
1,0,0.333,0.831,0.492,2.492
1,0,0.351,0.789,0.459,2.245
1,0,0.314,0.822,0.459,2.617
1,0,0.337,0.818,0.467,2.426
1,0,0.324,0.795,0.429,2.453
1,0,0.324,0.774,0.48,2.386
1,0,0.333,0.848,0.458,2.546
1,0,0.297,0.79,0.414,2.656
1,0,0.324,0.809,0.476,2.494
1,0,0.333,0.799,0.492,2.398
1,0,0.347,0.793,0.488,2.283
1,0,0.333,0.809,0.498,2.427
1,0,0.324,0.793,0.429,2.444
1,0,0.352,0.78,0.456,2.216
1,0,0.324,0.806,0.471,2.486
1,0,0.352,0.735,0.454,2.086
1,0,0.351,0.809,0.499,2.302
1,0,0.306,0.772,0.433,2.522
1,0,0.305,0.751,0.438,2.459
1,0,0.306,0.748,0.441,2.448
1,0,0.191,0.748,0.336,3.907
1,0,0.305,0.753,0.438,2.464
1,0,0.235,0.744,0.375,3.162
1,0,0.342,0.77,0.473,2.249
1,0,0.265,0.745,0.39,2.817
1,0,0.325,0.792,0.466,2.439
1,0,0.338,0.77,0.465,2.276
1,0,0.324,0.799,0.506,2.465
1,0,0.338,0.793,0.466,2.343
1,0,0.351,0.779,0.495,2.219
1,0,0.306,0.764,0.434,2.5
1,0,0.333,0.801,0.457,2.403
1,0,0.306,0.801,0.434,2.623
1,0,0.319,0.816,0.461,2.555
1,0,0.334,0.796,0.453,2.385
1,0,0.305,0.77,0.429,2.52
1,0,0.227,0.767,0.371,3.374
1,0,0.28,0.79,0.422,2.824
1,0,0.292,0.833,0.391,2.848
1,0,0.305,0.871,0.429,2.853
1,0,0.293,0.849,0.396,2.899
1,0,0.206,0.877,0.309,4.268
1,0,0.236,0.833,0.37,3.531
1,0,0.315,0.85,0.449,2.7
1,0,0.278,0.867,0.406,3.121
1,0,0.228,0.851,0.366,3.732
1,0,0.235,0.834,0.369,3.549
1,0,0.291,0.86,0.403,2.96
1,0,0.314,0.831,0.456,2.645
1,0,0.278,0.843,0.381,3.032
1,0,0.286,0.85,0.433,2.968
1,0,0.226,0.859,0.319,3.805
1,0,0.305,0.845,0.424,2.771
1,0,0.3,0.873,0.387,2.916
1,0,0.22,0.865,0.396,3.931
1,0,0.243,0.845,0.388,3.473
1,0,0.314,0.844,0.454,2.686
1,0,0.214,0.832,0.374,3.89
1,0,0.273,0.842,0.406,3.082
1,0,0.251,0.875,0.409,3.481
1,0,0.279,0.818,0.383,2.934
1,0,0.295,0.79,0.455,2.68
1,0,0.314,0.837,0.414,2.663
1,0,0.314,0.828,0.449,2.635
1,0,0.292,0.874,0.437,2.998
1,0,0.28,0.851,0.433,3.041
1,0,0.174,0.822,0.359,4.727
1,0,0.251,0.851,0.409,3.384
1,0,0.314,0.844,0.449,2.687
1,0,0.305,0.834,0.429,2.732
1,0,0.286,0.848,0.433,2.964
1,0,0.237,0.864,0.416,3.65
1,0,0.242,0.858,0.344,3.546
1,0,0.286,0.852,0.421,2.975
1,0,0.25,0.844,0.39,3.372
1,0,0.286,0.827,0.431,2.888
1,0,0.219,0.799,0.341,3.652
1,0,0.3,0.786,0.457,2.621
1,0,0.169,0.812,0.339,4.811
1,0,0.266,0.856,0.432,3.22
1,0,0.257,0.84,0.413,3.267
1,0,0.278,0.868,0.411,3.125
1,0,0.279,0.812,0.46,2.905
1,0,0.294,0.837,0.452,2.846
1,0,0.285,0.91,0.442,3.188
1,0,0.278,0.938,0.451,3.371
1,0,0.294,0.866,0.456,2.95
1,0,0.338,0.864,0.505,2.554
1,0,0.314,0.878,0.414,2.797
1,0,0.249,0.882,0.365,3.542
1,0,0.294,0.908,0.413,3.093
1,0,0.294,0.89,0.419,3.024
1,0,0.343,0.857,0.473,2.497
1,0,0.242,0.87,0.413,3.596
1,0,0.288,0.862,0.444,2.996
1,0,0.318,0.85,0.473,2.669
1,0,0.264,0.868,0.357,3.282
1,0,0.303,0.884,0.446,2.916
1,0,0.294,0.812,0.419,2.767
1,0,0.308,0.884,0.449,2.867
1,0,0.161,0.903,0.34,5.607
1,0,0.258,0.899,0.385,3.481
1,0,0.304,0.897,0.482,2.95
1,0,0.218,0.855,0.362,3.917
1,0,0.302,0.865,0.44,2.868
1,0,0.225,0.89,0.384,3.951
1,0,0.228,0.931,0.364,4.091
1,0,0.287,0.96,0.449,3.34
1,0,0.294,0.922,0.419,3.14
1,0,0.265,0.949,0.401,3.576
1,0,0.308,0.951,0.447,3.086
1,0,0.28,0.934,0.422,3.337
1,0,0.185,0.98,0.359,5.286
1,0,0.172,0.907,0.335,5.281
1,0,0.28,0.94,0.424,3.36
1,0,0.226,0.909,0.39,4.016
1,0,0.325,0.951,0.481,2.931
1,0,0.265,0.967,0.409,3.645
1,0,0.28,0.917,0.427,3.276
1,0,0.278,0.915,0.411,3.295
1,0,0.294,0.907,0.461,3.081
1,0,0.242,0.934,0.355,3.868
1,0,0.272,0.924,0.425,3.392
1,0,0.303,0.917,0.446,3.031
1,0,0.295,0.934,0.467,3.165
1,0,0.288,0.958,0.444,3.325
1,0,0.293,0.899,0.413,3.069
1,0,0.285,0.932,0.396,3.265
1,0,0.28,0.915,0.422,3.268
1,0,0.285,0.934,0.396,3.275
1,0,0.28,0.89,0.428,3.183
1,0,0.288,0.923,0.449,3.2
1,0,0.294,0.941,0.419,3.207
1,0,0.3,0.952,0.423,3.174
1,0,0.323,0.926,0.479,2.87
1,0,0.285,0.934,0.443,3.273
1,0,0.288,0.899,0.451,3.12
1,0,0.273,0.97,0.422,3.549
1,0,0.272,0.905,0.425,3.323
1,0,0.286,0.917,0.399,3.206
1,0,0.228,0.934,0.364,4.105
1,0,0.28,0.893,0.424,3.194
1,0,0.279,0.949,0.426,3.398
1,0,0.264,0.924,0.402,3.493
1,0,0.25,0.893,0.407,3.573
1,0,0.271,0.928,0.403,3.42
1,0,0.264,0.926,0.433,3.501
1,0,0.218,0.916,0.364,4.197
1,0,0.257,0.926,0.376,3.602
1,0,0.294,0.875,0.459,2.973
1,0,0.272,0.919,0.403,3.379
1,0,0.212,0.934,0.368,4.416
1,0,0.18,0.94,0.328,5.216
1,0,0.273,0.908,0.422,3.322
1,0,0.286,0.792,0.384,2.772
1,0,0.28,0.732,0.405,2.616
1,0,0.272,0.751,0.442,2.759
1,0,0.299,0.7,0.411,2.338
1,0,0.243,0.743,0.394,3.061
1,0,0.222,0.718,0.36,3.232
1,0,0.286,0.7,0.416,2.444
1,0,0.308,0.669,0.471,2.169
1,0,0.198,0.637,0.326,3.218
1,0,0.25,0.754,0.35,3.018
1,0,0.236,0.767,0.345,3.248
1,0,0.25,0.778,0.423,3.118
1,0,0.257,0.678,0.392,2.64
1,0,0.2,0.778,0.359,3.893
